API Optimized Simulation Profiling Report
Generated: 2025-09-15 19:28:43.693603
Total Runtime: 12.46 seconds
================================================================================

         4566 function calls (4447 primitive calls) in 12.460 seconds

   Ordered by: cumulative time
   List reduced from 585 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   12.459   12.459 /opt/anaconda3/lib/python3.12/site-packages/requests/api.py:103(post)
        1    0.000    0.000   12.459   12.459 /opt/anaconda3/lib/python3.12/site-packages/requests/api.py:14(request)
        1    0.000    0.000   12.459   12.459 /opt/anaconda3/lib/python3.12/site-packages/requests/sessions.py:500(request)
        1    0.000    0.000   12.455   12.455 /opt/anaconda3/lib/python3.12/site-packages/requests/sessions.py:673(send)
        1    0.000    0.000   12.455   12.455 /opt/anaconda3/lib/python3.12/site-packages/requests/adapters.py:590(send)
        1    0.000    0.000   12.454   12.454 /opt/anaconda3/lib/python3.12/site-packages/urllib3/connectionpool.py:592(urlopen)
        1    0.000    0.000   12.454   12.454 /opt/anaconda3/lib/python3.12/site-packages/urllib3/connectionpool.py:377(_make_request)
        1    0.000    0.000   12.453   12.453 /opt/anaconda3/lib/python3.12/site-packages/urllib3/connection.py:534(getresponse)
        1    0.000    0.000   12.453   12.453 /opt/anaconda3/lib/python3.12/http/client.py:1384(getresponse)
        1    0.000    0.000   12.452   12.452 /opt/anaconda3/lib/python3.12/http/client.py:324(begin)
        1    0.000    0.000   12.452   12.452 /opt/anaconda3/lib/python3.12/http/client.py:291(_read_status)
        8    0.000    0.000   12.452    1.556 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000   12.451   12.451 /opt/anaconda3/lib/python3.12/socket.py:694(readinto)
        1   12.451   12.451   12.451   12.451 {method 'recv_into' of '_socket.socket' objects}
        1    0.000    0.000    0.003    0.003 /opt/anaconda3/lib/python3.12/site-packages/requests/sessions.py:750(merge_environment_settings)
        1    0.000    0.000    0.003    0.003 /opt/anaconda3/lib/python3.12/site-packages/requests/utils.py:816(get_environ_proxies)
        1    0.000    0.000    0.003    0.003 /opt/anaconda3/lib/python3.12/site-packages/requests/utils.py:755(should_bypass_proxies)
        1    0.000    0.000    0.003    0.003 /opt/anaconda3/lib/python3.12/urllib/request.py:2684(proxy_bypass)
        1    0.000    0.000    0.003    0.003 /opt/anaconda3/lib/python3.12/urllib/request.py:2670(proxy_bypass_macosx_sysconf)
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxy_settings}
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.12/site-packages/urllib3/connection.py:418(request)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.12/http/client.py:1320(endheaders)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.12/http/client.py:1082(_send_output)
        2    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/http/client.py:1027(send)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.12/site-packages/urllib3/connection.py:324(connect)
