function,filename,cumulative_time,total_time,calls,time_per_call
<method 'append' of 'bytearray' objects>,~,5.84e-07,5.84e-07,1,5.84e-07
<method 'decode' of 'bytearray' objects>,~,0.0006329580000000001,0.0006329580000000001,3972,1.5935498489425983e-07
<method 'extend' of 'bytearray' objects>,~,7.374e-06,7.374e-06,5,1.4748e-06
<method 'find' of 'bytearray' objects>,~,0.000290138,0.000290138,2243,1.2935265269728042e-07
<method 'translate' of 'bytearray' objects>,~,4.7452000000000006e-05,4.7452000000000006e-05,209,2.2704306220095697e-07
<method 'count' of 'bytes' objects>,~,0.000617873,0.000617873,3972,1.5555715005035247e-07
<method 'decode' of 'bytes' objects>,~,0.033444549000000004,0.033444549000000004,206183,1.6220808214062266e-07
<method 'join' of 'bytes' objects>,~,0.055242503000000005,0.0027571540000000004,17197,3.212333720997849e-06
<built-in method maketrans>,~,2.2920000000000002e-06,2.2920000000000002e-06,4,5.730000000000001e-07
<method 'rstrip' of 'bytes' objects>,~,0.00036105,0.00036105,1323,2.729024943310658e-07
<method 'split' of 'bytes' objects>,~,0.00039233000000000003,0.00039233000000000003,2801,1.4006783291681545e-07
<method 'get' of 'mappingproxy' objects>,~,9.798200000000001e-05,9.798200000000001e-05,1000,9.798200000000001e-08
<method 'values' of 'mappingproxy' objects>,~,4.1370000000000005e-05,4.1370000000000005e-05,216,1.915277777777778e-07
<method 'items' of 'mappingproxy' objects>,~,4.2900000000000004e-06,4.2900000000000004e-06,25,1.7160000000000003e-07
<method 'copy' of 'mappingproxy' objects>,~,8.340000000000001e-07,8.340000000000001e-07,3,2.7800000000000003e-07
<method 'setter' of 'property' objects>,~,1.1374000000000002e-05,1.1374000000000002e-05,46,2.4726086956521744e-07
<method 'deleter' of 'property' objects>,~,3.7400000000000004e-07,3.7400000000000004e-07,2,1.8700000000000002e-07
<function FrozenList.__getitem__ at 0x119638720>,~,1.2500000000000002e-07,1.2500000000000002e-07,1,1.2500000000000002e-07
<method 'clear' of 'list' objects>,~,0.00010108400000000001,0.00010108400000000001,139,7.272230215827339e-07
<method 'copy' of 'list' objects>,~,1.0420000000000001e-06,1.0420000000000001e-06,2,5.210000000000001e-07
