Simulation Profiling Results - Baseline (Direct)
Start time: 2025-09-15 17:44:03.173034
End time: 2025-09-15 17:44:09.595675
Total runtime: 6.42 seconds
Result timesteps: 12
================================================================================
         11479380 function calls (11458907 primitive calls) in 6.412 seconds

   Ordered by: cumulative time
   List reduced from 3340 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.188    0.188    5.979    5.979 /Users/navyamehrotra/Documents/Projects/Delineo/Simulation/simulator/simulate.py:546(run_simulator)
     1346    0.003    0.000    2.897    0.002 /opt/anaconda3/lib/python3.12/site-packages/requests/api.py:14(request)
     1346    0.005    0.000    2.846    0.002 /opt/anaconda3/lib/python3.12/site-packages/requests/sessions.py:500(request)
      170    0.010    0.000    2.729    0.016 /Users/navyamehrotra/Documents/Projects/Delineo/Simulation/simulator/data_interface.py:85(stream_data)
     1346    0.008    0.000    2.346    0.002 /opt/anaconda3/lib/python3.12/site-packages/requests/sessions.py:673(send)
     1346    0.005    0.000    2.275    0.002 /opt/anaconda3/lib/python3.12/site-packages/requests/adapters.py:590(send)
     1346    0.007    0.000    2.115    0.002 /opt/anaconda3/lib/python3.12/site-packages/urllib3/connectionpool.py:592(urlopen)
     1346    0.005    0.000    2.056    0.002 /opt/anaconda3/lib/python3.12/site-packages/urllib3/connectionpool.py:377(_make_request)
       13    0.023    0.002    1.964    0.151 /Users/navyamehrotra/Documents/Projects/Delineo/Simulation/simulator/infectionmgr.py:142(run_model)
     1345    0.009    0.000    1.853    0.001 /Users/navyamehrotra/Documents/Projects/Delineo/Simulation/simulator/infectionmgr.py:222(create_timeline)
     1345    0.003    0.000    1.833    0.001 /opt/anaconda3/lib/python3.12/site-packages/requests/api.py:103(post)
     3892    1.136    0.000    1.618    0.000 /opt/anaconda3/lib/python3.12/json/decoder.py:343(raw_decode)
     1346    0.008    0.000    1.161    0.001 /opt/anaconda3/lib/python3.12/site-packages/urllib3/connection.py:534(getresponse)
     1346    0.002    0.000    1.109    0.001 /opt/anaconda3/lib/python3.12/http/client.py:1384(getresponse)
     1346    0.006    0.000    1.099    0.001 /opt/anaconda3/lib/python3.12/http/client.py:324(begin)
        1    0.000    0.000    1.067    1.067 /opt/anaconda3/lib/python3.12/site-packages/requests/api.py:62(get)
     1346    0.008    0.000    0.977    0.001 /opt/anaconda3/lib/python3.12/http/client.py:291(_read_status)
     1889    0.002    0.000    0.972    0.001 /opt/anaconda3/lib/python3.12/socket.py:694(readinto)
     8244    0.003    0.000    0.971    0.000 {method 'readline' of '_io.BufferedReader' objects}
      544    0.001    0.000    0.746    0.001 /opt/anaconda3/lib/python3.12/ssl.py:1237(recv_into)
      544    0.000    0.000    0.745    0.001 /opt/anaconda3/lib/python3.12/ssl.py:1095(read)
      544    0.745    0.001    0.745    0.001 {method 'read' of '_ssl._SSLSocket' objects}
