timestep,person1_id,person2_id,location_id,location_type,contact_duration,person1_infectious,person2_infectious,person1_masked,person2_masked,both_masked,age_diff,same_household
60,143,89,2,facility,1,False,False,False,False,False,28,False
60,143,67,2,facility,1,False,False,False,False,False,53,False
60,143,163,2,facility,1,False,False,False,False,False,22,False
60,143,95,2,facility,1,False,False,False,False,False,21,False
60,143,111,2,facility,1,False,False,False,False,False,66,False
60,143,45,2,facility,1,False,False,False,False,False,67,False
60,143,130,2,facility,1,False,False,False,False,False,9,False
60,143,85,2,facility,1,False,False,False,False,False,16,False
60,143,54,2,facility,1,False,False,False,True,False,0,False
60,89,67,2,facility,1,False,False,False,False,False,25,False
60,89,163,2,facility,1,False,False,False,False,False,6,False
60,89,95,2,facility,1,False,False,False,False,False,7,False
60,89,111,2,facility,1,False,False,False,False,False,38,False
60,89,45,2,facility,1,False,False,False,False,False,39,False
60,89,130,2,facility,1,False,False,False,False,False,19,False
60,89,85,2,facility,1,False,False,False,False,False,12,False
60,89,54,2,facility,1,False,False,False,True,False,28,False
60,67,163,2,facility,1,False,False,False,False,False,31,False
60,67,95,2,facility,1,False,False,False,False,False,32,False
60,67,111,2,facility,1,False,False,False,False,False,13,False
60,67,45,2,facility,1,False,False,False,False,False,14,False
60,67,130,2,facility,1,False,False,False,False,False,44,False
60,67,85,2,facility,1,False,False,False,False,False,37,False
60,67,54,2,facility,1,False,False,False,True,False,53,False
60,163,95,2,facility,1,False,False,False,False,False,1,False
60,163,111,2,facility,1,False,False,False,False,False,44,False
60,163,45,2,facility,1,False,False,False,False,False,45,False
60,163,130,2,facility,1,False,False,False,False,False,13,False
60,163,85,2,facility,1,False,False,False,False,False,6,False
60,163,54,2,facility,1,False,False,False,True,False,22,False
60,95,111,2,facility,1,False,False,False,False,False,45,False
60,95,45,2,facility,1,False,False,False,False,False,46,False
60,95,130,2,facility,1,False,False,False,False,False,12,False
60,95,85,2,facility,1,False,False,False,False,False,5,False
60,95,54,2,facility,1,False,False,False,True,False,21,False
60,111,45,2,facility,1,False,False,False,False,False,1,False
60,111,130,2,facility,1,False,False,False,False,False,57,False
60,111,85,2,facility,1,False,False,False,False,False,50,False
60,111,54,2,facility,1,False,False,False,True,False,66,False
60,45,130,2,facility,1,False,False,False,False,False,58,False
60,45,85,2,facility,1,False,False,False,False,False,51,False
60,45,54,2,facility,1,False,False,False,True,False,67,False
60,130,85,2,facility,1,False,False,False,False,False,7,False
60,130,54,2,facility,1,False,False,False,True,False,9,False
60,85,54,2,facility,1,False,False,False,True,False,16,False
60,44,19,3,facility,1,False,False,False,False,False,60,False
60,44,101,3,facility,1,False,False,False,False,False,7,False
60,44,23,3,facility,1,False,False,False,False,False,9,False
60,19,101,3,facility,1,False,False,False,False,False,53,False
60,19,23,3,facility,1,False,False,False,False,False,51,False
60,101,23,3,facility,1,False,False,False,False,False,2,False
60,120,155,4,facility,1,False,False,False,False,False,39,False
60,120,108,4,facility,1,False,False,False,False,False,13,False
60,120,39,4,facility,1,False,False,False,False,False,6,False
60,120,17,4,facility,1,False,False,False,False,False,16,False
60,120,75,4,facility,1,False,False,False,False,False,9,False
60,120,25,4,facility,1,False,False,False,False,False,18,False
60,120,21,4,facility,1,False,False,False,False,False,31,False
60,155,108,4,facility,1,False,False,False,False,False,26,False
60,155,39,4,facility,1,False,False,False,False,False,45,False
60,155,17,4,facility,1,False,False,False,False,False,55,False
60,155,75,4,facility,1,False,False,False,False,False,30,False
60,155,25,4,facility,1,False,False,False,False,False,57,False
60,155,21,4,facility,1,False,False,False,False,False,8,False
60,108,39,4,facility,1,False,False,False,False,False,19,False
60,108,17,4,facility,1,False,False,False,False,False,29,False
60,108,75,4,facility,1,False,False,False,False,False,4,False
60,108,25,4,facility,1,False,False,False,False,False,31,False
60,108,21,4,facility,1,False,False,False,False,False,18,False
60,39,17,4,facility,1,False,False,False,False,False,10,False
60,39,75,4,facility,1,False,False,False,False,False,15,False
60,39,25,4,facility,1,False,False,False,False,False,12,False
60,39,21,4,facility,1,False,False,False,False,False,37,False
60,17,75,4,facility,1,False,False,False,False,False,25,False
