timestep,person_id,from_location_id,from_location_type,to_location_id,to_location_type,movement_reason,person_age,person_sex,is_infectious,is_symptomatic,is_masked,from_occupancy,to_occupancy,to_capacity
58800,38,21,facility,21,facility,normal,38,1,False,False,False,6,6,100
58800,47,20,facility,21,facility,normal,72,1,False,False,True,13,7,100
58800,162,4,facility,22,facility,normal,30,1,False,False,True,6,4,40
58800,149,22,facility,22,facility,normal,29,1,False,False,True,4,4,40
58800,10,12,facility,25,facility,normal,14,0,False,False,False,11,6,50
58800,160,25,facility,25,facility,normal,38,1,False,False,True,6,6,50
58800,159,20,facility,25,facility,normal,19,1,False,False,False,12,7,50
58800,120,25,facility,25,facility,normal,38,0,False,False,False,7,7,50
58800,134,25,facility,25,facility,normal,15,1,False,False,True,7,7,50
58800,139,25,facility,25,facility,normal,18,1,False,False,True,7,7,50
58800,156,25,facility,25,facility,normal,25,1,False,False,True,7,7,50
58800,77,13,facility,25,facility,normal,43,0,False,False,True,26,8,50
58800,54,15,facility,25,facility,normal,16,0,False,False,False,3,9,50
58800,62,28,facility,28,facility,normal,20,1,False,False,True,2,2,40
58800,67,28,facility,28,facility,normal,63,0,False,False,True,2,2,40
58800,25,13,facility,28,facility,normal,47,1,False,False,False,25,3,40
58800,94,29,facility,29,facility,normal,48,1,False,False,True,1,1,60
58800,72,30,facility,30,facility,normal,16,0,False,False,True,7,7,70
58800,64,21,facility,30,facility,normal,17,0,False,False,True,6,8,70
58800,63,16,facility,30,facility,normal,6,1,False,False,False,12,9,70
58800,19,16,facility,30,facility,normal,29,1,False,False,False,11,10,70
58800,78,37,household,30,facility,normal,39,1,False,False,True,0,11,70
58800,16,15,facility,30,facility,normal,8,0,False,False,True,2,12,70
58800,173,22,facility,30,facility,normal,65,0,False,False,False,3,13,70
58800,7,13,facility,30,facility,normal,72,1,False,False,True,24,14,70
58800,84,30,facility,30,facility,normal,17,1,False,False,False,14,14,70
58800,83,30,facility,30,facility,normal,17,0,False,False,True,14,14,70
58800,154,30,facility,30,facility,normal,62,1,False,False,False,14,14,70
58800,60,30,facility,30,facility,normal,15,0,False,False,False,14,14,70
58800,103,17,facility,30,facility,normal,14,1,False,False,True,1,15,70
58800,166,15,facility,30,facility,normal,73,1,False,False,True,1,16,70
58800,92,30,facility,30,facility,normal,64,1,False,False,True,16,16,70
58800,122,56,household,30,facility,normal,1,1,False,False,True,0,17,70
58800,71,22,facility,33,facility,normal,5,1,False,False,False,2,1,30
58800,95,16,facility,33,facility,normal,17,0,False,False,True,10,2,30
58800,106,34,facility,34,facility,normal,38,1,False,False,True,1,1,50
58800,44,21,household,34,facility,normal,26,1,False,False,True,0,2,50
58800,56,26,household,34,facility,normal,38,0,False,False,False,0,3,50
58800,142,30,facility,35,facility,normal,33,0,False,False,True,16,2,100
58800,4,35,facility,35,facility,normal,35,0,False,False,False,2,2,100
58800,102,21,facility,36,facility,normal,15,1,False,False,False,5,1,30
58800,176,13,facility,36,facility,normal,17,0,False,False,False,23,2,30
58800,96,37,facility,37,facility,normal,74,0,False,False,False,2,2,60
58800,127,37,facility,37,facility,normal,27,1,False,False,False,2,2,60
58860,6,4,household,4,household,normal,70,0,False,False,False,1,1,-1
58860,10,25,facility,6,household,normal,14,0,False,False,False,8,1,-1
